127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000704
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000652
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003961
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.003485
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.003526
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.005795
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001244
127.0.0.1, 2018-04-25 22:00:49, GET, /start/default/index, HTTP/1.1, 200, 0.297876
127.0.0.1, 2018-04-25 22:00:49, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000727
127.0.0.1, 2018-04-25 22:00:49, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000601
127.0.0.1, 2018-04-25 22:00:49, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000643
127.0.0.1, 2018-04-25 22:00:49, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000638
